caseid,weight,votereg,Q2,Q3a,Q3b,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_7,Q4_8,Q4_9,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q20,Q21,Q22,tsmart_voter_score,tsmart_pid,tsmart_G2016_vote_type,tsmart_P2016_vote_type,tsmart_P2014_vote_type,tsmart_G2014_vote_type,tsmart_G2012_vote_type,tsmart_P2012_vote_type,tsmart_PP2012_vote_type,tsmart_match_status,vb_vf_g2018,vb_vf_p2018,vb_vf_p2018_party,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1001238283,1.16997782245117,1,9,9,2,5,2,2,5,5,5,5,3,3,5,5,3,5,3,5,5,2,5,5,4,3,3,998,3,1,998,5,998,998,998,998,998,998,998,998,998,998,998,998,2,998,4,2,3,4,5,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,3,1,2,1,2,2,3,2,1,8,2,2,2,4,3,3,3,8,3,2,3,2,2,8,8,98,98,98,98,98,98,98,8,,,,1983,1,1,3,1,1,10,1,1,7,36,4,2,11,5,2,2,3,09/02/2019 19:47:52,09/02/2019 19:59:51
1001161313,0.644926760781034,1,9,9,1,5,1,2,5,5,5,5,5,2,5,5,2,5,2,5,5,2,5,5,4,2,4,998,1,6,998,998,5,998,998,998,4,998,998,2,998,3,998,998,998,7,998,1,4,3,2,5,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,8,8,3,3,3,1,2,2,3,1,3,2,2,98,2,2,98,98,1,E,P,D,1971,2,2,5,5,1,12,1,1,1,48,1,1,2,2,2,1,2,09/02/2019 19:36:45,09/02/2019 20:00:57
1001238699,1.29421845820493,1,9,9,1,6,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,2,6,6,4,2,2,998,1,998,998,998,3,998,998,998,998,998,998,998,998,2,998,998,998,998,998,1,5,4,2,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,2,2,4,2,2,4,1,2,2,1,2,3,2,2,3,3,3,3,3,1,1,2,1,8,8,98,98,98,98,98,98,98,8,,,,1988,2,1,3,3,1,2,1,2,7,21,3,3,1,4,1,3,2,09/02/2019 19:52:12,09/02/2019 20:07:10
1001243361,0.722785948243284,1,9,9,1,6,4,4,6,3,4,6,4,4,5,6,3,5,1,6,6,1,4,6,4,16,2,9,998,7,998,3,8,998,6,998,998,5,998,4,10,1,998,998,2,998,998,5,3,4,1,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,1,2,3,4,2,4,2,4,1,2,1,4,3,1,2,3,3,3,3,3,1,2,2,3,2,3,5,5,98,5,5,98,98,1,Y,,,1978,1,1,4,6,6,1,4,3,1,39,1,1,5,5,2,2,5,09/02/2019 19:57:52,09/02/2019 20:08:53
1001238445,0.693433311016178,1,9,9,1,2,1,1,2,1,3,2,1,1,2,2,1,2,1,2,1,1,2,1,4,2,4,998,1,5,998,7,10,998,998,998,3,998,998,6,998,4,998,8,2,998,9,1,4,5,3,2,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,3,3,4,3,3,4,2,3,3,3,3,3,2,3,8,3,4,1,1,2,3,2,1,3,5,98,98,5,1,98,98,1,Y,,,1946,1,1,6,1,5,7,1,1,1,51,2,1,1,1,2,1,1,09/02/2019 19:49:45,09/02/2019 20:09:50
1001237639,0.706273963637814,1,9,9,1,5,1,2,5,1,5,5,5,2,2,5,2,5,2,5,5,1,5,5,4,19,3,998,2,6,998,5,3,998,998,998,4,7,998,8,998,998,998,10,1,998,9,2,5,4,3,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,3,3,3,4,4,1,2,4,2,2,4,4,3,3,2,3,3,3,3,3,1,1,5,3,1,1,2,2,1,1,2,1,98,1,E,E,,1949,2,2,3,1,1,9,1,1,1,12,2,1,12,2,1,1,1,09/02/2019 19:41:39,09/02/2019 20:13:11
1001236717,1.45377553655765,1,9,9,1,2,2,8,2,2,3,2,5,2,2,6,2,4,4,5,2,3,8,3,4,2,4,10,1,998,2,4,5,998,8,998,3,9,998,7,6,998,998,998,998,998,998,1,3,2,5,4,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,3,4,2,3,3,4,4,3,4,4,3,4,3,3,3,4,1,3,3,1,3,1,3,2,5,3,1,8,3,3,98,3,3,98,98,1,A,,,1935,1,1,5,4,5,7,1,2,1,49,3,1,2,4,2,2,1,09/02/2019 19:31:42,09/02/2019 20:13:43
1001244163,0.536309533169009,1,9,9,1,6,8,5,6,5,5,6,6,5,6,6,5,6,4,6,6,3,6,6,4,2,4,998,1,6,998,2,4,5,998,998,7,998,998,3,998,10,998,998,9,998,8,1,2,3,5,4,5,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,4,3,1,2,3,3,1,1,4,2,3,1,3,1,3,3,1,1,2,4,2,1,1,3,1,1,3,3,1,98,1,A,P,,1946,2,3,6,4,5,6,1,2,1,9,3,2,2,5,2,2,1,09/02/2019 20:05:27,09/02/2019 20:15:51
1001244383,0.929336421357809,1,9,9,1,5,4,4,6,2,5,5,1,4,3,6,3,5,1,5,4,1,1,1,4,9,2,998,8,998,998,6,7,998,998,1,998,10,998,9,998,3,998,998,4,5,2,4,3,5,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,3,2,3,3,2,3,2,2,3,2,2,3,8,3,8,3,1,5,5,3,8,8,98,98,98,98,98,98,98,8,P,,,1964,2,3,6,1,2,11,1,1,1,24,3,1,12,2,2,1,2,09/02/2019 20:07:22,09/02/2019 20:22:59
1001230489,1.27746555705122,1,9,9,1,5,3,4,5,3,4,5,1,4,4,5,3,5,1,6,5,3,3,4,4,9,3,3,998,998,998,998,998,998,998,1,998,998,998,4,998,2,998,998,998,998,998,3,4,5,1,2,1,2,3,3,2,2,2,2,1,2,2,2,2,2,2,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,1,3,3,1,1,3,8,8,98,98,98,98,98,98,98,8,,,,1988,2,2,6,5,2,4,3,3,2,13,3,1,1,2,1,1,2,09/02/2019 19:06:41,09/02/2019 20:32:14
1001245565,1.14580622295952,1,9,9,1,6,2,6,6,6,6,6,6,6,6,6,3,6,2,6,6,2,6,6,5,2,2,998,1,998,998,998,998,998,998,998,998,998,998,998,998,3,998,998,2,998,998,1,5,4,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,3,3,2,2,3,3,3,2,3,3,3,2,3,3,1,3,1,8,2,2,1,8,8,98,98,98,98,98,98,98,8,,,,1959,2,1,2,1,2,4,1,2,2,42,4,2,1,2,2,1,3,09/02/2019 20:19:42,09/02/2019 20:37:57
1001122729,0.742827290163173,1,9,9,1,2,1,2,5,8,3,5,4,1,2,6,2,2,4,6,5,2,5,2,4,2,4,5,1,998,998,998,998,998,998,998,2,4,998,998,998,998,998,998,3,998,998,1,4,2,5,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,8,2,3,8,3,3,4,3,4,3,2,4,3,3,3,4,3,3,8,3,1,1,4,1,1,8,8,98,98,98,98,98,98,98,8,,,,1942,2,1,6,4,5,3,1,1,1,23,2,1,1,4,2,2,2,09/02/2019 20:30:18,09/02/2019 20:49:10
1001252215,0.916550014089981,1,9,9,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,2,16,2,998,7,6,4,998,998,998,8,10,3,998,998,998,998,1,998,5,998,9,2,2,5,3,1,4,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,3,2,3,3,2,2,3,2,3,2,2,2,2,1,2,1,2,8,3,2,1,2,1,8,8,98,98,98,98,98,98,98,8,,,,1975,1,1,2,1,4,10,3,3,7,12,3,2,9,6,2,3,7,09/02/2019 20:47:20,09/02/2019 20:51:14
1001257675,0.768391475697264,1,9,9,1,3,1,2,3,1,2,3,3,2,2,3,2,3,1,3,3,1,3,2,4,2,4,998,1,5,998,7,4,998,998,998,9,998,998,8,998,3,998,998,2,998,6,1,4,5,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,4,2,3,3,3,4,2,3,3,3,3,2,1,1,1,1,8,8,98,98,98,98,98,98,98,8,A,Y,D,1943,2,1,6,3,5,4,1,1,1,4,2,1,2,4,2,2,1,09/02/2019 21:01:02,09/02/2019 21:13:08
1001131631,0.768391475697264,1,9,9,1,5,2,2,5,1,5,6,2,2,2,6,2,5,2,5,5,1,4,2,4,19,2,998,2,8,998,3,10,998,998,9,4,998,998,5,998,6,998,998,1,998,7,3,2,4,5,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,3,2,3,4,3,3,4,4,2,2,3,4,3,1,3,3,8,3,1,1,1,2,1,1,1,4,4,7,7,7,11,98,1,A,A,,1937,2,1,6,4,5,4,1,1,1,6,2,1,12,4,2,4,6,09/02/2019 21:09:57,09/02/2019 21:21:29
1001131323,0.705431045073923,1,9,9,1,5,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5,4,6,1,998,2,9,998,998,1,6,998,998,5,998,998,998,10,4,998,7,3,998,8,1,5,4,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,3,2,4,4,3,3,4,8,3,4,4,3,4,2,3,3,1,3,1,1,2,2,2,8,8,98,98,98,98,98,98,98,8,Y,Y,D,1946,2,6,6,3,5,2,1,1,1,17,2,2,1,4,1,1,2,09/02/2019 21:07:51,09/02/2019 21:22:56
1001107799,0.925577875458364,1,9,9,1,5,2,5,5,5,3,5,5,2,5,3,2,5,5,5,4,2,5,2,4,22,4,998,1,998,998,998,998,998,998,998,998,998,998,3,998,998,998,998,998,998,2,2,5,4,3,1,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,2,2,3,3,2,1,2,3,3,1,3,3,2,1,3,3,8,3,1,2,1,2,2,8,8,98,98,98,98,98,98,98,8,,,,1965,2,1,5,3,6,2,1,2,7,47,2,2,1,5,2,3,5,09/02/2019 20:58:35,09/02/2019 21:31:31
1001292261,0.560153319597147,1,9,9,1,6,1,1,6,2,6,6,4,3,2,6,2,6,1,6,6,1,6,2,4,16,3,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,4,3,3,2,3,3,3,2,3,3,2,3,3,3,2,2,3,3,8,3,8,8,8,8,8,2,3,5,5,98,5,2,98,98,1,Y,Y,D,1984,1,2,2,5,9,5,1,1,1,17,1,1,1,4,2,2,4,09/02/2019 23:50:54,09/02/2019 23:57:32
1001150517,0.601162682890507,1,9,9,1,3,2,2,3,3,3,3,3,4,3,3,4,3,1,3,3,4,3,2,4,16,3,998,2,3,998,998,998,998,998,998,998,998,998,998,998,1,998,998,998,998,4,2,4,5,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,4,3,1,2,1,2,3,1,2,1,2,2,1,2,2,3,1,2,3,3,1,3,2,3,3,1,4,8,98,98,98,98,98,98,98,1,,,,1985,1,2,2,5,1,6,1,2,1,8,2,2,9,6,2,4,7,09/02/2019 23:48:22,09/02/2019 23:58:37
1001203081,1.55635962332613,1,9,9,1,5,4,5,5,5,5,5,5,5,6,5,5,5,2,5,5,5,5,2,4,16,2,998,2,998,998,998,998,998,4,998,998,998,998,998,998,1,998,998,3,998,998,2,5,4,1,3,4,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,3,1,4,1,4,3,1,2,2,3,3,3,3,3,2,2,8,3,1,1,2,2,1,4,2,8,8,98,98,98,98,98,98,98,8,Y,,,1955,2,2,6,1,2,9,1,1,1,28,4,2,12,1,1,1,1,09/02/2019 23:46:20,09/03/2019 00:00:35
1001150579,1.04248052496506,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,998,998,998,3,5,2,998,998,998,4,9,998,8,998,998,998,1,6,10,7,997,997,997,997,997,2,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,1,2,1,1,1,2,8,8,98,98,98,98,98,98,98,8,,,,1980,1,1,5,1,2,9,1,1,1,17,1,1,1,3,1,1,3,09/02/2019 23:57:35,09/03/2019 00:03:37
1001297075,1.28063150169438,1,9,9,1,1,3,2,2,1,1,2,1,2,1,3,1,3,2,3,2,2,2,3,1,7,1,3,998,998,998,998,998,2,998,1,998,998,998,998,998,5,998,998,998,4,998,998,998,1,998,998,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,3,1,4,2,3,4,2,2,2,4,4,4,3,3,2,1,1,2,1,1,1,2,2,1,8,8,98,98,98,98,98,98,98,8,,,,1976,2,1,6,1,1,13,1,2,7,47,3,2,4,4,2,4,5,09/03/2019 00:01:29,09/03/2019 00:04:51
1000209931,0.776103960665643,1,9,9,1,3,2,4,3,2,4,3,3,2,3,3,3,3,2,3,3,1,4,4,4,19,2,998,3,998,998,4,998,10,9,998,5,998,998,6,998,2,8,7,1,998,998,3,4,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,3,2,4,3,2,2,3,2,3,3,3,2,2,1,3,3,3,3,1,1,1,2,1,2,1,1,1,1,1,1,98,98,1,P,,,1956,2,1,4,1,4,97,1,2,1,42,3,2,1,5,2,3,2,09/02/2019 23:51:43,09/03/2019 00:06:34
1001239941,1.15075517997011,1,9,9,1,5,2,5,5,5,3,5,5,3,5,5,3,5,2,5,5,3,5,3,2,2,4,7,1,998,10,8,998,998,9,3,998,998,998,998,998,2,5,4,998,6,998,1,3,5,2,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,1,3,2,3,3,2,3,2,3,2,2,3,2,2,1,2,1,1,1,3,1,2,2,1,2,3,5,98,98,5,5,98,98,1,Y,,,1946,1,4,6,1,2,10,3,3,7,39,3,1,11,5,2,4,7,09/02/2019 23:51:42,09/03/2019 00:06:35
1001296945,1.04248052496506,1,9,9,1,6,4,4,6,3,4,3,4,4,4,6,4,6,1,6,4,1,3,2,4,16,2,998,998,998,998,998,3,998,998,998,998,998,998,998,998,1,998,998,2,998,4,998,998,998,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,4,2,3,4,2,3,2,4,2,3,2,3,3,3,3,1,3,1,2,1,1,3,5,5,5,5,5,5,98,1,Y,Y,,1982,1,1,5,1,1,11,1,1,1,29,1,1,9,6,2,4,7,09/02/2019 23:59:24,09/03/2019 00:08:41
1001233005,0.760767389858342,1,9,9,1,2,2,2,5,2,4,5,3,2,3,5,5,2,2,5,3,2,4,3,4,2,4,3,1,7,998,5,8,998,998,998,4,10,998,998,9,6,998,998,2,998,998,1,3,4,5,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,4,3,2,1,4,1,1,3,4,3,2,1,3,3,3,3,1,1,1,5,3,3,1,4,98,98,98,98,11,98,1,M,M,D,1967,1,1,2,3,6,6,1,2,1,8,2,1,10,6,2,4,7,09/02/2019 23:59:40,09/03/2019 00:09:06
1001296863,0.678523385380563,1,9,9,1,5,1,2,5,2,2,5,2,2,2,5,2,5,2,5,5,2,2,2,4,2,4,998,1,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,998,1,5,4,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,8,2,8,8,8,2,2,8,8,8,8,8,8,8,1,2,3,4,8,8,8,2,4,2,2,3,5,98,98,98,1,98,98,1,Y,,,1964,1,2,2,5,9,97,1,1,1,51,3,1,1,6,2,2,2,09/02/2019 23:58:28,09/03/2019 00:13:16
1001293447,0.736989733757455,1,9,9,1,6,2,3,5,2,3,6,5,1,2,6,3,6,1,5,2,1,6,2,4,16,3,998,7,998,998,6,4,998,998,9,3,5,998,998,998,1,998,8,2,998,998,5,4,3,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,3,3,2,3,2,4,3,2,3,3,3,4,2,3,4,4,2,3,3,2,3,3,1,1,1,1,2,3,1,98,1,3,3,98,98,1,P,P,,1978,1,1,5,1,1,8,1,1,1,55,1,1,10,6,2,4,6,09/02/2019 23:58:15,09/03/2019 00:15:03
1000755467,1.14284324332373,1,9,9,1,5,4,6,6,6,5,6,6,5,5,8,2,6,3,6,6,3,5,6,4,22,4,998,998,998,998,998,998,998,998,998,998,998,998,1,998,998,998,998,998,998,998,997,997,997,997,997,5,3,3,3,2,2,2,2,2,2,2,2,2,2,1,4,2,2,3,2,2,3,2,2,3,2,2,2,3,3,3,1,4,3,1,1,1,1,2,1,2,2,1,5,98,98,5,5,98,98,1,,,,1948,2,1,3,4,5,3,1,2,1,22,3,3,2,5,2,2,2,09/02/2019 23:46:35,09/03/2019 00:16:17
